image_index,contrast_0
335,3700.7516778523486
336,4148.79865771812
337,3904.4093959731545
338,0.0
339,0.0
340,0.0
341,2280.9664429530203
342,3037.4093959731545
343,3945.140939597315
344,3741.48322147651
345,3243.976510067114
346,3415.630872483221
347,3750.211409395973
348,4777.228187919463
349,4771.4093959731545
350,4783.046979865772
351,2464.258389261745
352,2964.6744966442952
353,2807.56711409396
354,2964.6744966442952
355,0.0
356,2129.677852348993
357,3179.969798657718
358,2397.3422818791946
359,2403.161073825503
360,4745.224832214764
361,4422.281879194631
362,4623.030201342281
363,2697.0100671140945
364,1862.013422818792
365,0.0
366,0.0
367,3564.010067114093
368,2665.0067114093963
369,0.0
370,1521.6140939597317
371,0.0
372,0.0
373,3220.701342281879
374,3677.476510067114
375,4460.104026845638
376,3831.674496644296
377,0.0
378,0.0
379,2769.744966442953
380,0.0
381,7587.704697986577
382,0.0
383,8399.426174496642
384,4591.026845637584
385,5114.718120805369
386,5533.6711409395975
387,3185.788590604027
388,3729.845637583892
389,3214.88255033557
390,0.0
391,2176.2281879194634
392,2941.3993288590605
393,3005.4060402684563
394,0.0
395,3054.8657718120808
396,1437.241610738255
397,1466.3355704697983
398,1477.9731543624162
399,0.0
400,814.6308724832215
401,1413.96644295302
402,2507.89932885906
403,2507.89932885906
404,0.0
405,0.0
406,4268.08389261745
407,0.0
408,2298.422818791946
409,2158.7718120805366
410,1891.1073825503356
411,8460.523489932886
412,8859.110738255034
413,9711.563758389262
414,1757.275167785235
415,1745.6375838926174
416,2606.818791946309
417,1934.748322147651
418,1184.1241610738257
419,1184.1241610738257
420,2036.5771812080536
421,2446.802013422819
422,1547.798657718121
423,1681.6308724832215
424,1198.6711409395973
425,0.0
426,1349.9597315436242
427,2301.3322147651006
428,2365.338926174497
429,0.0
430,2630.093959731544
431,3267.251677852349
432,0.0
433,2257.691275167785
434,3287.6174496644294
435,4046.9697986577194
436,5009.979865771812
437,3392.3557046979863
438,0.0
439,10441.822147651006
440,9854.124161073823
441,3916.046979865772
442,4710.312080536913
443,3916.046979865772
444,2568.996644295302
445,2746.4697986577185
446,2344.973154362416
447,2967.583892617449
448,2851.2080536912754
449,2120.94966442953
450,2106.4026845637586
451,2545.721476510067
452,2926.8523489932886
453,9705.744966442951
454,8934.755033557047
455,9254.788590604028
456,3694.93288590604
457,2571.9060402684563
458,3380.718120805369
459,3113.053691275168
460,2999.5872483221474
461,3191.6073825503354
462,2670.8255033557048
463,2519.536912751678
464,0.0
465,2734.8322147651006
466,3305.073825503356
467,2630.093959731544
468,3334.1677852348994
